complet/complète | completcomplA te.mp3
vendre | vendre.mp3
veste la | veste la.mp3
vêtements les (m) | vAatements les m.mp3
vie la | vie la.mp3
ville la | ville la.mp3
vitrine la | vitrine la.mp3
vivre | vivre.mp3
voisin le | voisin le.mp3
zone piétonne la | zone piAtonne la.mp3
bricolage le | bricolage le.mp3
distractions les (f) | distractions les f.mp3
écharpe l’ (f) | Acharpe laTM f.mp3
embouteillage l’ (m) | embouteillage laTM m.mp3
endroit l’ (m) | endroit laTM m.mp3
fermeture la | fermeture la.mp3
foulard le | foulard le.mp3
four le | four le.mp3
foyer le | foyer le.mp3
garder | garder.mp3
grande surface la | grande surface la.mp3
lèche-vitrine le (faire du) | lA che-vitrine le faire du.mp3
loyer le | loyer le.mp3
lumière la | lumiA re la.mp3
marque la | marque la.mp3
pelouse la | pelouse la.mp3
pull à capuche le | pull A  capuche le.mp3
rayon le | rayon le.mp3
rembourser | rembourser.mp3
surchargé | surchargA.mp3
tâche la | tAche la.mp3
agent de police l’ (m) | agent de police laTM m.mp3
avenir l’ (m) | avenir laTM m.mp3
boucher le | boucher le.mp3
boulanger le | boulanger le.mp3
boulot le | boulot le.mp3
candidat le | candidat le.mp3
coiffeur le | coiffeur le.mp3
compter (sur) | compter sur.mp3
employé(e) l' | employAe l.mp3
employeur l' | employeur l.mp3
espérer | espArer.mp3
facteur le | facteur le.mp3
fermier le | fermier le.mp3
gagner | gagner.mp3
idée l’ (f) | idAe laTM f.mp3
infirmier l’ (m) | infirmier laTM m.mp3
informaticien l’ | informaticien laTM.mp3
ingénieur l’ (m) | ingAnieur laTM m.mp3
journal le | journal le.mp3
livre la (sterling) | livre la sterling.mp3
maçon le | maAon le.mp3
mécanicien le | mAcanicien le.mp3
mettre de l’argent de côté | mettre de laTMargent de cA tA.mp3
patron le; patronne la | patron le patronne la.mp3
petit job le | petit job le.mp3
plombier le | plombier le.mp3
policier le | policier le.mp3
rêve le | rAave le.mp3
rêver | rAaver.mp3
recevoir | recevoir.mp3
varié | variA.mp3
vétérinaire le | vAtArinaire le.mp3
à peine | A  peine.mp3
assis | assis.mp3
avocat l’ (m) | avocat laTM m.mp3
comptable le | comptable le.mp3
croisière la | croisiA re la.mp3
débouché le | dAbouchA le.mp3
debout | debout.mp3
dessinateur de mode le | dessinateur de mode le.mp3
disponible | disponible.mp3
élargir | Alargir.mp3
entreprise l’ (f) | entreprise laTM f.mp3
entretien l’ (m) | entretien laTM m.mp3
enrichissant | enrichissant.mp3
espoir l’ (m) | espoir laTM m.mp3
interprète l’ (m) | interprA te laTM m.mp3
outil l’ (m) | outil laTM m.mp3
venir de | venir de.mp3
apprendre | apprendre.mp3
calculette la | calculette la.mp3
collège le | collA ge le.mp3
comprendre | comprendre.mp3
cours le | cours le.mp3
demander | demander.mp3
devoirs les (m) | devoirs les m.mp3
difficulté la | difficultA la.mp3
diplôme le | diplA me le.mp3
directeur le | directeur le.mp3
directrice la | directrice la.mp3
discuter | discuter.mp3
distribuer | distribuer.mp3
droit le | droit le.mp3
école l’ (f) (primaire/secondaire) | Acole laTM f primairesecondaire.mp3
élève l’ (m/f) | AlA ve laTM mf.mp3
emploi du temps l’ (m) | emploi du temps laTM m.mp3
en seconde | en seconde.mp3
études les (f) | Atudes les f.mp3
étudiant l’ (m) | Atudiant laTM m.mp3
examen l’ (m) | examen laTM m.mp3
faire attention | faire attention.mp3
leçon la | leAon la.mp3
lecture la | lecture la.mp3
lire | lire.mp3
maquillage le | maquillage le.mp3
note la | note la.mp3
oublier | oublier.mp3
passer un examen | passer un examen.mp3
pause la | pause la.mp3
penser | penser.mp3
permettre | permettre.mp3
porter | porter.mp3
pression la | pression la.mp3
récré(ation) la | rAcrAation la.mp3
règle la | rA gle la.mp3
règlement le | rA glement le.mp3
rentrée la | rentrAe la.mp3
répéter | rApAter.mp3
réponse la | rAponse la.mp3
résultat le | rAsultat le.mp3
réussir un examen | rAussir un examen.mp3
salle de classe la | salle de classe la.mp3
savoir | savoir.mp3
scolaire | scolaire.mp3
tableau le | tableau le.mp3
terrain de sport le | terrain de sport le.mp3
trimestre le | trimestre le.mp3
trouver | trouver.mp3
bien équipé | bien AquipA.mp3
bulletin scolaire le | bulletin scolaire le.mp3
car de ramassage le | car de ramassage le.mp3
couloir le | couloir le.mp3
doué | douA.mp3
échouer | Achouer.mp3
enseigner | enseigner.mp3
incivilités les (f) | incivilitAs les f.mp3
injure l' (f) | injure l f.mp3
mal équipé | mal AquipA.mp3
maternelle la | maternelle la.mp3
redoubler | redoubler.mp3
retenue la | retenue la.mp3
à droite | A  droite.mp3
à gauche | A  gauche.mp3
banlieue la | banlieue la.mp3
centre-ville le | centre-ville le.mp3
campagne la | campagne la.mp3
chez | chez.mp3
de chaque côté | de chaque cA tA.mp3
de l’autre côté | de laTMautre cA tA.mp3
en bas | en bas.mp3
en haut | en haut.mp3
est l' (m) | est l m.mp3
ici | ici.mp3
là | lA.mp3
là-bas | lA -bas.mp3
loin de | loin de.mp3
nord le | nord le.mp3
nulle part | nulle part.mp3
ouest l' (m) | ouest l m.mp3
par | par.mp3
partout | partout.mp3
quelque part | quelque part.mp3
situé (e) | situA e.mp3
sud le | sud le.mp3
tout droit | tout droit.mp3
tout près | tout prA s.mp3
toutes directions | toutes directions.mp3
ville la | ville la.mp3
argent l' (m) | argent l m.mp3
béton le | bAton le.mp3
bois le | bois le.mp3
cuir le | cuir le.mp3
fer le | fer le.mp3
laine la | laine la.mp3
or l' (m) | or l m.mp3
soie la | soie la.mp3
verre le | verre le.mp3
aimable | aimable.mp3
aîné | aAnA.mp3
amour l’ (m) | amour laTM m.mp3
s’appeler | saTMappeler.mp3
avoir...ans | avoir...ans.mp3
barbe la | barbe la.mp3
bavard | bavard.mp3
beau/belle/bel | beaubellebel.mp3
beau-père le | beau-pA re le.mp3
belle-mère la | belle-mA re la.mp3
bête | bAate.mp3
bouclé | bouclA.mp3
célibataire | cAlibataire.mp3
cheveux les (m) | cheveux les m.mp3
copain le/copine la | copain lecopine la.mp3
court | court.mp3
demi-frère le | demi-frA re le.mp3
demi-sœur la | demi-sAur la.mp3
se disputer | se disputer.mp3
dire | dire.mp3
égoïste | AgoA ste.mp3
ensemble | ensemble.mp3
s’entendre (avec) | saTMentendre avec.mp3
fâché | fAchA.mp3
se faire des amis | se faire des amis.mp3
femme la | femme la.mp3
fille la | fille la.mp3
fils le | fils le.mp3
frisé | frisA.mp3
généreux/généreuse | gAnAreuxgAnAreuse.mp3
gentil/gentille | gentilgentille.mp3
grand-mère la | grand-mA re la.mp3
grand-père le | grand-pA re le.mp3
grands-parents les (m) | grands-parents les m.mp3
gros/grosse | grosgrosse.mp3
heureux/heureuse | heureuxheureuse.mp3
injuste | injuste.mp3
jeune | jeune.mp3
joli | joli.mp3
laid | laid.mp3
long/longue | longlongue.mp3
lunettes les (f) | lunettes les f.mp3
mari le | mari le.mp3
se marier | se marier.mp3
méchant | mAchant.mp3
mi-long | mi-long.mp3
mort | mort.mp3
naissance la | naissance la.mp3
né(e) le... | nAe le.mp3
nom le | nom le.mp3
paresseux/paresseuse | paresseuxparesseuse.mp3
partager | partager.mp3
partenaire le/la | partenaire lela.mp3
pénible | pAnible.mp3
petit ami le | petit ami le.mp3
petite amie la | petite amie la.mp3
petite-fille la | petite-fille la.mp3
petit-fils le | petit-fils le.mp3
prénom le | prAnom le.mp3
raide | raide.mp3
rapports les (m) | rapports les m.mp3
sens de l’humour le | sens de laTMhumour le.mp3
séparé | sAparA.mp3
sortir | sortir.mp3
sportif/sportive | sportifsportive.mp3
sympa | sympa.mp3
de taille moyenne | de taille moyenne.mp3
tante la | tante la.mp3
timide | timide.mp3
tranquille | tranquille.mp3
travailleur/travailleuse | travailleurtravailleuse.mp3
triste | triste.mp3
unique | unique.mp3
vieux/vieil/vieille | vieuxvieilvieille.mp3
yeux les (m) | yeux les m.mp3
bague la | bague la.mp3
bouton le | bouton le.mp3
compréhensif/compréhensive | comprAhensifcomprAhensive.mp3
confiance la | confiance la.mp3
connaître | connaAtre.mp3
de mauvaise humeur | de mauvaise humeur.mp3
épouser | Apouser.mp3
esprit l’ (m) | esprit laTM m.mp3
étonnant | Atonnant.mp3
étrange | Atrange.mp3
fiançailles les (f) | fianAailles les f.mp3
fier/fière | fierfiA re.mp3
fou/folle | foufolle.mp3
gâter | gAter.mp3
gêner | gAaner.mp3
jaloux/jalouse | jalouxjalouse.mp3
jumeau le/jumelle la | jumeau lejumelle la.mp3
jeunesse la | jeunesse la.mp3
marre (en avoir) | marre en avoir.mp3
mépriser | mApriser.mp3
se mettre en colère | se mettre en colA re.mp3
mourir | mourir.mp3
naître | naAtre.mp3
neveu le | neveu le.mp3
les noces (f) | les noces f.mp3
ondulé | ondulA.mp3
se rendre compte | se rendre compte.mp3
(se) séparer | se sAparer.mp3
vif/vive | vifvive.mp3
chimie la | chimie la.mp3
dessin le | dessin le.mp3
EPS l’ (f) | EPS laTM f.mp3
français le | franAais le.mp3
informatique (l’) (f) | informatique laTM f.mp3
instituteur l’ (m) | instituteur laTM m.mp3
institutrice l’ (f) | institutrice laTM f.mp3
langue la | langue la.mp3
matière la | matiA re la.mp3
physique la | physique la.mp3
professeur le | professeur le.mp3
religion la | religion la.mp3
couture la | couture la.mp3
langues vivantes les (f) | langues vivantes les f.mp3
instruction civique l’ (f) | instruction civique laTM f.mp3
proviseur le | proviseur le.mp3
ne...jamais | ne...jamais.mp3
ne…pas | neapas.mp3
ne...personne | ne...personne.mp3
ne...plus | ne...plus.mp3
ne…que | neaque.mp3
ne…rien | nearien.mp3
ni…ni | niani.mp3
pas encore | pas encore.mp3
dizaine une | dizaine une.mp3
douzaine une | douzaine une.mp3
nombre de | nombre de.mp3
